「押印」正しい読み方は？,4,おしいん,おいん,はんこ,おういん
日本一長い川は？,2,利根川,信濃川,富士川,最上川
日本と韓国北朝鮮の間で領土問題となっている島は？,3,北方領土,尖閣諸島,竹島,沖ノ鳥島
最も多くの件と隣接している都道府県は？,1,長野県,群馬県,埼玉県,沖縄県
「月極」正しい読み方は？,1,つきぎめ,げっきょく,つきぎょく,げっごく
「師走」は何月？,3,1月,4月,12月,8月
二千円札の表には何が描かれている？,1,首里城守礼門,大阪城,新渡戸稲造,紫式部
震度は全部で何段階あるか？,1,７段階,８段階,９段階,１０段階
１１月３日は何の祝日？,4,体育の日,みどりの日,敬老の日,文化の日
昭和６４年はいつまで？（昭和最後の年）,1,1月4日,1月5日,1月6日,1月7日
酔っ払ったサラリーマンがよく頭に巻くのは？,4,ハンカチ,バンダナ,タオル,ネクタイ
日本で初めて登録された世界遺産は？,3,富士山,原爆ドーム,法隆寺,姫路城
日本で初めての国民栄誉賞の受賞者は？,3,長谷川町子,植松直己,王貞治,長嶋秀夫
富士山の高さは？,1,３７７６m,３７６６m,３７７５m,３４７４m
東京スカイツリーの高さは？,2,６３７m,６３４m,６７３m,６７８m
一般的に七五三を７歳で祝うのは？,3,どっちも,どっちも祝わない,女の子,男の子
日本で一番売れたCDアルバムのアーティストは？,4,西野カナ,浜崎あゆみ,美空ひばり,宇多田ヒカル
東京に来た外国人が東京で最も訪れるのはどれ？,2,浅草,銀座,築地,六本木
マラソンで走る距離は何キロ？,2,１００ｋｍ,４２、１９５km,４２，１５９km,２８，４５２km
結婚祝いのお金を包んでお渡しする「ご祝儀袋」NGの金額は？,3,５０００円,１万円,９万円,３万円