日本の都道府県で温泉の地が最も多いのはどこ？,3,兵庫県,大分県,北海道,青森県
次のうち、実際に北海道に存在する川はどれ？,2,イトオシイ川,ヤリキレナイ川,チョウシデナイ川,クルオシイ川
ウォーリーを探せでおなじみのウォーリー。彼の肩書きとされているのは、次のうちどれ？,3,コックさん,バックパッカー,脱獄した囚人,コメディアン
世界で最も歌われている曲は？,1,ハッピーバースデートゥーユー,キラキラ星,ジングルベル,アメージングレイス
サマージャンボ宝くじの１０００万以上が当選する確率は？,1,0.00000008%,0.001%,0.0007%,0.045%
コアラの握力は？,4,３０kg,５０kg,１００kg,１５００kg
人間の血管を全てつなげるとおよそどれくらいの長さになる？,2,１万km,１０万km,１０００万km,１００万km
日本で初めてのペットボトルは何の容器だったでしょう？,3,水,コーラ,醤油,コーヒー
科学実験などに使われるスポイトのつまむ部分の名称はなんというでしょう？,4,ニンフ,グリップ,ニンシン,乳首
自殺者が最も多い曜日は何曜日でしょう？,3,土曜日,日曜日,月曜日,金曜日
日本人が多い国は？,1,アメリカ合衆国,中国,カナダ,オーストラリア
両手を使っていくつまで数えられる？,4,10,20,514,1024
紙を＊＊回折ると月に届く厚さになる。＊＊に当てはまる言葉は？,3,101,4098,43,10003
ハローキティは何者？,3,猫,犬,カエル,人間
女性が一生のうちに使うトイレットペーパーの長さは？（７６年間）,1,１８３km,１８km,１８４３km,６０００m
人が一生（８０年）で伸びる髪の毛の長さは？,1,１４m,２００m,３０４３m,５４３m
次のうちジャンプができない動物は？,2,コアラ,ゾウ,レッサーパンダ,カバ
ビールのお供として食べられる枝豆は、どんな豆を未熟名うちに収穫したものでしょう？,2,いんげん豆,大豆,そら豆,えんどう豆
肖像画のベートーベンが不機嫌名理由は？,4,寝不足だったから,気分じゃなかったから,具合が悪かったから,家政婦の料理がまずかったから
アメリカの国旗の星の数は？,2,33,51,43,29
♫　これは何音符？,3,四分音符,二分音符,八分音符,全音符
この中で「木管楽器」は？,2,トランペット,サックス,トロンボーン,チェロ