サッカーで使ってはいけない部位は？,1,手,足,胸,頭
東京五輪の開催日は１９６４年のいつ？,4,7月7日,8月8日,9月9日,10月10日
陸上・女子の「7種競技」で行われない種目は？,2,走り幅跳び,円盤投げ,やり投げ,２００m走
「孔球」なんのスポーツ？,2,ゲートボール,ゴルフ,ハンドボール,テニス
「塁球」なんのスポーツ？,3,野球,キックベース,ソフトボール,バレーボール
ボクシング競技から引退したことを明らかにしたお笑いタレントの「しずちゃん」こと山崎静代が登録していた階級は？,1,ミドル級,ライト級,ヘビー級,フライ級
サッカーの主な4つのポジションの一つで中盤で守備と攻撃をつなぐ選手のことは？,1,MF,DF,GK,FW
サッカーで人試合に一人で3得点を決めることをなんという？,3,アシスト,スーパーシュート,ハットトリック,オフサイド
バレーボールの人チーム分のコートの広さは？,1,９m　x　９m,９m　x　８m,８m　x　８m,７m　x　８m
ラグビーは人チーム何人制？,3,１３人,９人,１５人,１１人
スノーボードでのジャンプの技「フロントサイド1440」何回転？,2,3回転半,４回転,４回転半,３回転
日本のプロ野球チームでそのメットの色から「赤ヘル軍団」とも言われるチームはどこ？,1,広島東洋カープ,横浜ベイスターズ,東北楽天ゴールデンイーグルス,千葉ロッテマリーンズ
プロレスの試合は1試合につき何分間でおこなわれる？,4,１０分間,３０分間,６０分間,試合により異なる
スノーボードのジャンプで板を手でつかんでスタイルを出すことをなんという？,3,クラブ,ブラブ,グラブ,オーリー
ビリヤードの黒色といえば何番？,2,4,8,1,9
セリーグに所属で甲子園球場を本拠地としている球団は？,3,東京ヤクルトスワローズ,横浜DeNAベイスターズ,阪神タイガース,中日ドラゴンズ
アイスホッケーのリンクにあるゴールラインは何色？,3,黄,黒,赤,青
横浜F・マリノスのスポンサーとなっている自動車会社は？,1,日産,トヨタ,三菱,マツダ
元横綱・千代の富士の現役時代のニックネームは？,1,ウルフ,シャーク,ドッグ,ライオン
空手で、相手と向かい合い攻防の方を行う練習方法をなんという？,4,乱取り,打ち込み,鉄砲,組手